Estación:       XALAPAob,  VER
Operada por:    SMN ESIME
Longitud:       96°54'14"  Longitud: 19°30'43  Altitud: 1360

DD/MM/AAAA HH:MM      	DIRS	    DIRR  RAPVIENTO2  RAPRAFAGA2	TEMP   	      HR	  PB 	    PREC     RAD-SOL
03/11/2014 20:00         269          34        1.90        5.10        20.9          62       869.5         0.0       764.0
03/11/2014 20:10         218         355        1.30        3.20        21.5          55       869.4         0.0       746.0
03/11/2014 20:20         208          43        1.40        4.40        21.3          58       869.4         0.0       733.0
03/11/2014 20:30         199         321        1.80        4.80        20.9          58       869.3         0.0       702.0
03/11/2014 20:40         217         314        2.00        5.00        21.5          54       869.3         0.0       667.0
03/11/2014 20:50         188           4        2.50        5.10        20.6          58       869.2         0.0       658.0
03/11/2014 21:00         173         262        2.20        5.30        21.5          56       869.1         0.0       665.0
03/11/2014 21:10         172         293        1.80        4.90        21.7          55       869.1         0.0       389.0
03/11/2014 21:20         140         276        1.90        4.00        22.2          49       869.1         0.0       572.0
03/11/2014 21:30         143         253        2.00        4.10        22.0          51       869.0         0.0       594.0
03/11/2014 21:40         122         198        2.40        4.90        22.7          51       869.0         0.0       615.0
03/11/2014 21:50         133         204        2.00        4.60        22.6          51       868.9         0.0       158.0
03/11/2014 22:00         161         218        2.00        5.10        20.6          60       869.0         0.0       164.0
03/11/2014 22:10         135         252        1.60        3.70        20.6          66       869.0         0.0       176.0
03/11/2014 22:20         124         205        2.20        4.40        19.8          73       869.0         0.0       300.0
03/11/2014 22:30         123         197        2.30        4.40        18.7          78       868.9         0.0       150.0
03/11/2014 22:40         117         295        2.00        4.90        17.7          82       868.9         0.0        62.0
03/11/2014 22:50         122         295        2.20        4.40        17.0          87       869.0         0.0        93.0
03/11/2014 23:00         126         241        1.60        3.90        16.9          88       869.0         0.0        60.0
03/11/2014 23:10         124         209        1.80        3.70        16.6          90       869.0         0.0        35.0
03/11/2014 23:20         129         204        1.50        3.20        16.4          92       869.0         0.0        14.0
03/11/2014 23:30         120         179        1.80        3.30        16.1          93       869.1         0.0         4.0
03/11/2014 23:40         114         154        1.90        3.20        15.7          96       869.2         0.0         5.0
03/11/2014 23:50         117         208        1.50        3.00        15.6          97       869.2         0.0         2.0
04/11/2014 00:00         127         251        0.90        2.10        15.6          98       869.3         0.0         0.0
04/11/2014 00:10         113         242        1.20        2.60        15.5          98       869.3         0.0         0.0
04/11/2014 00:20         113         213        1.20        2.20        15.4          99       869.3         0.0         0.0
04/11/2014 00:30         148         220        1.00        2.40        15.4         100       869.4         0.0         0.0
04/11/2014 00:40         125         211        1.30        2.60        15.4         100       869.5         0.0         0.0
04/11/2014 00:50         113         171        1.60        3.40        15.4          99       869.6         0.0        -1.0
04/11/2014 01:00         117         188        1.40        2.40        15.5          99       869.8         0.0         0.0
04/11/2014 01:10         120         225        1.20        2.20        15.6          98       869.9         0.0         0.0
04/11/2014 01:20         124         264        1.40        3.40        15.7          98       870.1         0.0         0.0
04/11/2014 01:30         117         218        1.40        3.00        15.3          99       870.1         0.0         0.0
04/11/2014 01:40         137         259        1.10        2.80        15.2         100       870.2         0.0         0.0
04/11/2014 01:50         122         225        1.40        2.90        15.2         100       870.3         0.0         0.0
04/11/2014 02:00         154         279        1.20        2.50        15.1         100       870.4         0.0         0.0
04/11/2014 02:10         157         211        1.40        3.10        15.0         100       870.4         0.0         0.0
04/11/2014 02:20         148         231        1.00        2.00        15.0         100       870.5         0.0         0.0
04/11/2014 02:30         128         229        1.30        3.90        14.7         100       870.6         0.0         0.0
04/11/2014 02:40         122         170        2.50        4.50        14.2         100       870.7         0.0         0.0
04/11/2014 02:50         124         197        2.30        4.60        14.1         100       870.8         0.0         0.0
04/11/2014 03:00         128         310        1.70        3.60        14.1         100       870.9         0.0         0.0
04/11/2014 03:10         137         287        1.40        3.30        14.1         100       871.0         0.0         0.0
04/11/2014 03:20         129         203        2.10        4.10        14.0         100       871.0         0.0         0.0
