sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.6129;5.6312;7.8913;65.7273;8.7;7.2;-33.3;348.14;-30.52;7.06;67.041;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 15;85.6;26.0;3.671;22;2014-11-09 13:39:27:994
1.0343;4.2904;8.6191;51.5455;-5.9;8.3;-32.0;4.75;-42.39;-6.55;76.673;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;523;2014-11-09 13:39:28:495
-0.9577;4.4053;8.6957;331.5476;-3.8;8.0;-31.8;33.96;-17.68;13.4;74.555;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;1023;2014-11-09 13:39:28:995
-0.6129;3.9456;7.9679;878.5714;-5.9;6.3;-32.1;20.92;-24.2;1.93;75.939;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;1530;2014-11-09 13:39:29:502
-0.5363;4.9799;8.5042;1385.0;-0.2;6.5;-33.1;11.62;-21.88;6.7;74.24;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;2031;2014-11-09 13:39:30:003
-2.5666;2.3367;9.5002;1343.0952;4.7;7.1;-35.3;359.5;-22.91;7.84;67.65;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;2533;2014-11-09 13:39:30:505
-2.9497;3.486;8.3127;1367.619;20.7;18.5;-36.4;339.73;-20.63;13.86;73.024;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;3033;2014-11-09 13:39:31:005
0.1532;3.486;9.6151;1466.9048;22.2;16.4;-36.0;343.53;-23.34;18.88;75.813;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;3533;2014-11-09 13:39:31:505
-0.8811;4.0223;7.8147;3277.093;22.4;15.5;-35.2;328.77;-27.08;5.1;73.415;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;4033;2014-11-09 13:39:32:005
-3.2561;4.865;10.8026;3545.2715;23.3;10.4;-34.4;327.39;-25.43;10.91;65.968;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;4536;2014-11-09 13:39:32:508
-1.8771;5.2098;9.3087;3646.0852;19.7;9.9;-32.6;344.01;-26.63;20.13;65.563;19.51973;-96.91561;4349.29;3.22;38.709675;14 / 14;85.6;26.0;3.671;5072;2014-11-09 13:39:33:044
-1.3024;3.9073;5.861;3229.6511;21.2;5.1;-29.9;328.29;-33.06;12.53;64.626;19.519735;-96.91561;4348.86;0.0;25.806452;12 / 14;85.6;26.0;3.671;5599;2014-11-09 13:39:33:571
-0.1532;5.1332;7.0868;2949.6123;18.4;1.1;-28.5;322.32;-45.47;3.08;67.36;19.519735;-96.91561;4348.86;0.0;25.806452;12 / 14;85.6;26.0;3.671;6100;2014-11-09 13:39:34:072
3.4093;5.9376;9.347;4384.07;7.9;8.6;-27.3;328.5;-28.16;-9.18;66.762;19.519735;-96.91561;4348.86;0.0;25.806452;15 / 15;85.6;26.0;3.671;6604;2014-11-09 13:39:34:576
2.2601;5.4396;9.1554;4341.24;6.7;7.9;-26.9;338.56;-31.04;-2.34;65.547;19.519735;-96.91561;4348.86;0.0;25.806452;15 / 15;85.6;26.0;3.671;7104;2014-11-09 13:39:35:076
1.2258;4.0606;10.1131;4035.504;-2.2;5.6;-22.7;348.54;-23.6;-12.37;62.874;19.519741;-96.91561;4348.44;2.06;19.35484;14 / 14;85.6;26.0;3.671;7613;2014-11-09 13:39:35:585
1.0343;4.1755;7.4699;5296.008;-7.7;4.0;-17.4;23.66;-30.9;-8.04;74.946;19.519741;-96.91561;4348.44;2.06;19.35484;14 / 14;85.6;26.0;3.671;8114;2014-11-09 13:39:36:086
2.4134;3.9456;8.9639;5485.116;-6.9;0.5;-16.5;18.71;-23.03;-15.07;74.916;19.519741;-96.91561;4348.44;2.06;19.35484;15 / 15;85.6;26.0;3.671;8619;2014-11-09 13:39:36:591
0.6129;4.0606;8.849;5802.054;-6.7;-0.4;-15.8;55.05;-22.09;4.66;75.59;19.519741;-96.91561;4348.44;2.06;19.35484;15 / 15;85.6;26.0;3.671;9119;2014-11-09 13:39:37:091
1.0726;3.984;8.5042;5290.7363;-5.6;0.4;-17.2;30.28;-24.48;-5.84;72.437;19.519741;-96.91561;4348.44;2.06;19.35484;15 / 15;85.6;26.0;3.671;9623;2014-11-09 13:39:37:595
0.498;3.9073;8.734;5126.667;-5.2;1.3;-17.8;21.95;-24.84;-4.81;61.593;19.519741;-96.91561;4348.44;2.06;19.35484;15 / 15;85.6;26.0;3.671;10124;2014-11-09 13:39:38:096
0.8428;3.8307;8.6191;5122.054;-5.0;1.3;-18.0;21.66;-23.9;-5.29;64.608;19.519741;-96.91561;4348.44;2.06;19.35484;14 / 15;85.6;26.0;3.671;10625;2014-11-09 13:39:38:597
